Date,Close,High,Low,Open,Volume
2014-08-18,9.844266891479492,9.907573949766368,9.6191754354733,9.81613011433818,21640446
2014-08-19,10.160801887512207,10.357757463185417,9.816128939803097,9.837231290040416,36564743
2014-08-20,10.160801887512207,10.319069514292108,9.970879815001664,10.041221289250952,23954604
2014-08-21,10.350724220275879,10.677811606637354,10.224110104410055,10.480856008498929,29767027
2014-08-22,10.52657699584961,10.864214593565064,10.410514071634921,10.744633997457745,31569283
2014-08-25,10.195971488952637,10.60043470899614,10.164317965693746,10.51954114461284,23213787
2014-08-26,9.95329475402832,10.227625296565808,9.939225907494595,10.20300619569373,14530673
2014-08-27,10.210041046142578,10.406996622483588,9.953295170468213,10.016602221394823,16763477
2014-08-28,10.055290222167969,10.234660200716478,9.918124024079734,10.217074601910362,15534593
2014-08-29,10.093977928161621,10.157285904035659,9.91460793758025,10.072875576328519,15204572
2014-09-01,10.438650131225586,10.491406006913254,10.125631628687202,10.129148380274826,23006810
2014-09-02,10.720014572143555,10.8290439900276,10.368308138234775,10.392928159240654,38872113
2014-09-03,10.948625564575195,11.015449369639404,10.621537281584374,10.688362007023281,32606718
2014-09-04,10.867731094360352,10.969727010150004,10.744633749574946,10.867731094360352,18765930
2014-09-05,10.741116523742676,10.96269210272008,10.628570358613207,10.860697111809793,20194660
2014-09-09,10.888833045959473,11.001379211948356,10.720014257163443,10.755184531371086,18997946
2014-09-10,10.990828514099121,11.149097055830904,10.814976215063151,10.902902364581136,21692991
2014-09-11,10.79738998413086,11.222954621307995,10.769253212969478,10.902901725517824,22036117
2014-09-12,10.990828514099121,11.21943852767007,10.797390617009702,10.797390617009702,21046617
2014-09-15,10.990828514099121,11.0752388325309,10.878282343231382,10.973243836420302,16014905
2014-09-16,10.378859519958496,11.036550951049726,10.378859519958496,11.025999776229403,24900581
2014-09-17,10.473820686340332,10.61098596677046,10.287416280502699,10.431615984669524,12342443
2014-09-18,10.326105117797852,10.49492393898741,10.273349236176113,10.392929848101897,11877574
2014-09-19,10.329619407653809,10.519540536223214,10.238175594514061,10.357756177937087,14209049
2014-09-22,10.069357872009277,10.273347867350111,9.963846122824242,10.25224459713846,15627779
2014-09-23,10.269830703735352,10.350722427948153,10.020119267226118,10.023636018599621,12586931
2014-09-24,10.744635581970215,10.762221182902794,10.21355908532928,10.276867064611606,20380393
